id_user,id_time,id_turma,email,senha,nome,user_level
1,1,0,aaa@adm.com,111,João,1
2,1,2,Carlos@user.com,Senha123,Carlos,0
3,2,3,Ana@user.com,Senha456,Ana,0
4,2,1,Marcos@user.com,Senha789,Marcos,0
5,3,2,Lucas@user.com,Senha321,Lucas,0
6,3,3,Sofia@user.com,Senha654,Sofia,0
7,4,1,Mariana@user.com,Senha987,Mariana,0
8,4,2,Luiza@user.com,Senha123,Luiza,0
9,1,1,Rafael@user.com,Senha456,Rafael,0
10,1,1,Isabela@user.com,Senha789,Isabela,0
11,2,1,Daniel@user.com,Senha321,Daniel,0
12,2,1,Julia@user.com,Senha654,Julia,0
13,3,1,Vitor@user.com,Senha987,Vitor,0
14,3,1,Lara@user.com,Senha123,Lara,0
15,4,1,Miguel@user.com,Senha456,Miguel,0
16,4,1,Larissa@user.com,Senha789,Larissa,0
17,1,2,Joana@user.com,Senha321,Joana,0
18,1,2,Eduardo@user.com,Senha654,Eduardo,0
19,2,2,Alice@user.com,Senha987,Alice,0
20,2,2,Gabriel@user.com,Senha123,Gabriel,0
21,3,2,Letícia@user.com,Senha456,Letícia,0
22,3,2,Rodrigo@user.com,Senha789,Rodrigo,0
23,4,2,Carolina@user.com,Senha321,Carolina,0
24,4,2,Fernanda@user.com,Senha654,Fernanda,0
25,1,3,Gustavo@user.com,Senha987,Gustavo,0
26,1,3,Luana@user.com,Senha123,Luana,0
27,2,3,Ricardo@user.com,Senha456,Ricardo,0
28,2,3,Sabrina@user.com,Senha789,Sabrina,0
29,3,3,Thiago@user.com,Senha321,Thiago,0
30,3,3,Manuela@user.com,Senha654,Manuela,0
31,4,3,Pedro@user.com,Senha987,Pedro,0
32,4,3,Lorena@user.com,Senha123,Lorena,0
33,,1,novo@email.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,novo,0
34,,1,teste@a.com,f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae,teste,1
35,,2,bbb@user.com,f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae,bbb,0
